Crop,N,P,K
Tobaccco,60,60,80
Maize,200,65,80
Sorghum,180,35,58
Wheat,150,40,38
Cotton,140,40,65
Alfalfa,40,60,88
Banana,300,53,360
Citrus,150,40,105
Grape,130,50,195
Pineapple,265,55,110
Potato,100,65,143
Groundnut,15,28,33
Olive,225,63,185
Safflower,85,23,33
Soybean,15,23,43
Sunflower,75,33,93
Bean,30,50,85
Pea,30,50,120
Sugarbeet,150,60,130
Sugarcane,150,55,143
Cabbage,125,58,115
Onion,80,35,63
Pepper,135,38,78
Tomato,125,88,200
Watermelon,90,43,58
Rice,150,50,60
Millets ,80,40,40
Pearl Milets (Bajra) ,80,40,40
Canola (Rapeseed) ,75,40,40
Lentil ,20,40,50
Triticle,80,40,40
Chilli ,30,60,30
